year,province,mthincome_mthexp_totaldebt_pctexptoincome,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,93.09,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,78.73,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,.00,ร้อยละ,"ศูนย์จุดศูนย์ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,89.57,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,83.45,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,84.24,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,91.55,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,รวมทั้งสิ้น,รวมทั้งสิ้น,36767.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,21900.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,40798.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,53767.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,9788.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,19682.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,28119.00,บาท,,สำนักงานสถิติแห่งชาติ
